,Type,"City,Town,Ward,Village",Area,Nearest stationFName,Nearest stationFDistance(minute),Layout,Area(m^2),Year of construction,Building structure,Use,City Planning,Maximus Building Coverage Ratio(%),Maximus Floor-area Ratio(%),Transaction period,Renovation,Transaction-price(total)
0,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,15,1985,SRC,Other,Commercial Zone,80.0,600.0,2nd quarter 2020,Not yet,12000000
1,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2020,Not yet,17000000
2,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2012,RC,House,Commercial Zone,80.0,500.0,2nd quarter 2020,Unknown,29000000
3,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,10,Unknown,20,2004,SRC,Other,Commercial Zone,80.0,400.0,2nd quarter 2020,Not yet,14000000
4,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2020,Not yet,18000000
5,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,Unknown,20,2011,RC,Other,Commercial Zone,80.0,500.0,2nd quarter 2020,Unknown,22000000
6,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1DK,30,1985,SRC,House,Commercial Zone,80.0,600.0,2nd quarter 2020,Not yet,16000000
7,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,11,Unknown,35,1963,W,House,Commercial Zone,80.0,400.0,1st quarter 2020,Unknown,17000000
8,Residential Land(Land Only),Toshima Ward,Ikebukuro,Ikebukuro,7,Unknown,65,2002.0,Unknown,Other,Commercial Zone,80.0,400.0,1st quarter 2020,Unknown,70000000
9,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,15,Unknown,90,2018,W,Housing Complex,Category I Residential Zone,60.0,300.0,1st quarter 2020,Unknown,120000000
10,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,13,1K,25,2013,RC,House,Category I Residential Zone,80.0,400.0,1st quarter 2020,Not yet,28000000
11,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,13,1K,20,2013,RC,House,Category I Residential Zone,80.0,400.0,1st quarter 2020,Not yet,27000000
12,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,20,2011,RC,House,Commercial Zone,80.0,500.0,1st quarter 2020,Not yet,25000000
13,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,10,1K,20,2004,SRC,House,Commercial Zone,80.0,400.0,1st quarter 2020,Not yet,21000000
14,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,2LDK,60,2002,SRC,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2020,Not yet,44000000
15,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,15,2DK,40,1984,RC,House,Neighborhood Commercial Zone,80.0,300.0,1st quarter 2020,Done,31000000
16,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,20,2009,RC,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2020,Not yet,22000000
17,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2007,SRC,Other,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2020,Not yet,22000000
18,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,25,2007,RC,House,Commercial Zone,80.0,400.0,1st quarter 2020,Not yet,30000000
19,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2007,SRC,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2020,Unknown,24000000
20,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2006,RC,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2020,Not yet,21000000
21,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,6,1LDK,40,2006,RC,House,Commercial Zone,80.0,600.0,1st quarter 2020,Done,45000000
22,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2020,Not yet,19000000
23,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2020,Not yet,19000000
24,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,6,Unknown,185,1981,RC,"House, Office, Shop",Commercial Zone,80.0,600.0,4th quarter 2019,Unknown,200000000
25,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,5,Unknown,195,1989,SRC,Shop,Commercial Zone,80.0,800.0,4th quarter 2019,Unknown,710000000
26,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,6,Unknown,130,1979,RC,Other,Commercial Zone,80.0,600.0,4th quarter 2019,Unknown,190000000
27,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,20,2007,RC,Other,Category I Residential Zone,60.0,300.0,4th quarter 2019,Not yet,23000000
