,Type,"City,Town,Ward,Village",Area,Nearest stationFName,Nearest stationFDistance(minute),Layout,Area(m^2),Year of construction,Building structure,Use,City Planning,Maximus Building Coverage Ratio(%),Maximus Floor-area Ratio(%),Transaction period,Renovation,Transaction-price(total)
28,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1DK,20,2011,RC,House,Commercial Zone,80.0,400.0,4th quarter 2019,Unknown,29000000
29,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2007,SRC,House,Neighborhood Commercial Zone,80.0,400.0,4th quarter 2019,Not yet,21000000
30,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,20,2011,RC,Other,Commercial Zone,80.0,500.0,4th quarter 2019,Unknown,23000000
31,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,20,2011,RC,House,Commercial Zone,80.0,500.0,4th quarter 2019,Not yet,23000000
32,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,25,2007,RC,House,Commercial Zone,80.0,400.0,4th quarter 2019,Not yet,30000000
33,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,Unknown,20,2011,RC,Other,Commercial Zone,80.0,500.0,4th quarter 2019,Unknown,20000000
34,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,5,1K,25,1986,SRC,House,Commercial Zone,80.0,600.0,4th quarter 2019,Not yet,16000000
35,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,House,Category I Residential Zone,60.0,400.0,4th quarter 2019,Unknown,23000000
36,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2012,RC,House,Commercial Zone,80.0,500.0,4th quarter 2019,Not yet,24000000
37,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,20,2011,RC,House,Commercial Zone,80.0,500.0,4th quarter 2019,Not yet,22000000
38,Residential Land(Land Only),Toshima Ward,Ikebukuro,Ikebukuro,13,Unknown,90,2002.0,Unknown,Other,Category I Residential Zone,60.0,300.0,3rd quarter 2019,Unknown,3700000
39,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2019,Not yet,19000000
40,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,10,1K,20,2000,SRC,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2019,Done,21000000
41,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,15,1985,SRC,House,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,12000000
42,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,5,1DK,25,1986,SRC,House,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,15000000
43,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2005,RC,House,Commercial Zone,80.0,400.0,3rd quarter 2019,Not yet,20000000
44,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,14,1K,15,1990,RC,House,Neighborhood Commercial Zone,80.0,300.0,3rd quarter 2019,Not yet,13000000
45,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1R,15,1985,SRC,House,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,9500000
46,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,5,1K,20,1986,SRC,House,Commercial Zone,80.0,800.0,3rd quarter 2019,Not yet,11000000
47,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,15,2DK,35,1984,RC,Other,Neighborhood Commercial Zone,80.0,300.0,3rd quarter 2019,Not yet,19000000
48,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,20,2011,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2019,Not yet,23000000
49,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,13,1LDK,40,2013,RC,House,Category I Residential Zone,80.0,400.0,3rd quarter 2019,Not yet,39000000
50,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2011,RC,House,Commercial Zone,80.0,400.0,3rd quarter 2019,Not yet,21000000
51,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,13,1K,25,2013,RC,Other,Category I Residential Zone,80.0,400.0,3rd quarter 2019,Unknown,24000000
52,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,5,2LDK,55,2013,RC,House,Commercial Zone,80.0,800.0,2nd quarter 2019,Not yet,64000000
53,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1LDK,50,2009,RC,House,Category I Residential Zone,80.0,400.0,2nd quarter 2019,Not yet,42000000
54,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,House,Category I Residential Zone,60.0,400.0,2nd quarter 2019,Not yet,24000000
55,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,13,1K,20,2013,RC,House,Category I Residential Zone,80.0,400.0,2nd quarter 2019,Done,27000000
56,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,Unknown,20,2007,SRC,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2019,Not yet,21000000
57,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,5,1K,20,1986,SRC,Other,Commercial Zone,80.0,800.0,2nd quarter 2019,Not yet,12000000
58,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,14,1R,15,1990,RC,House,Neighborhood Commercial Zone,80.0,300.0,2nd quarter 2019,Not yet,10000000
59,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,7,1K,25,2011,RC,House,Commercial Zone,80.0,800.0,2nd quarter 2019,Not yet,29000000
60,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,1991,SRC,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2019,Not yet,13000000
61,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,Unknown,25,2007,SRC,Other,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2019,Not yet,24000000
62,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,9,Unknown,70,1981,RC,"Housing Complex, Shop",Commercial Zone,80.0,600.0,1st quarter 2019,Unknown,160000000
63,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,20,2005,RC,Other,Commercial Zone,80.0,400.0,1st quarter 2019,Done,22000000
66,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,20,2011,RC,House,Commercial Zone,80.0,500.0,1st quarter 2019,Not yet,21000000
67,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,14,1K,15,1990,RC,House,Neighborhood Commercial Zone,80.0,300.0,1st quarter 2019,Unknown,10000000
68,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,15,1984,RC,House,Commercial Zone,80.0,400.0,1st quarter 2019,Not yet,7000000
69,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2012,RC,House,Commercial Zone,80.0,500.0,1st quarter 2019,Done,25000000
70,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,35,2004,RC,House,Commercial Zone,80.0,500.0,1st quarter 2019,Unknown,38000000
71,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,2LDK,60,2002,SRC,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2019,Not yet,48000000
72,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2012,RC,House,Commercial Zone,80.0,500.0,1st quarter 2019,Not yet,25000000
73,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1R,15,1985,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2019,Done,12000000
74,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,20,2011,RC,House,Commercial Zone,80.0,500.0,1st quarter 2019,Done,21000000
75,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2014,RC,House,Commercial Zone,80.0,400.0,1st quarter 2019,Not yet,24000000
76,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1R,15,1991,SRC,House,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2019,Not yet,11000000
77,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,8,Unknown,175,1985,S,Warehouse,Commercial Zone,80.0,500.0,4th quarter 2018,Unknown,290000000
78,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,7,Unknown,200,1998,S,"Office, Parking Lot",Commercial Zone,80.0,400.0,4th quarter 2018,Unknown,150000000
79,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,5,Unknown,620,1995,S,"Office, Other",Commercial Zone,80.0,800.0,4th quarter 2018,Unknown,2500000000
80,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,14,Unknown,125,1983,RC,House,Category I Residential Zone,60.0,400.0,4th quarter 2018,Unknown,140000000
81,Residential Land(Land Only),Toshima Ward,Ikebukuro,Ikebukuro,7,Unknown,125,2002.0,Unknown,Other,Commercial Zone,80.0,600.0,4th quarter 2018,Unknown,14000000
82,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,8,Unknown,100,1969,W,Housing Complex,Category I Residential Zone,60.0,300.0,4th quarter 2018,Unknown,120000000
83,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,7,Unknown,500,1995,SRC,Office,Commercial Zone,80.0,400.0,4th quarter 2018,Unknown,1500000000
84,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,20,2011,RC,Other,Commercial Zone,80.0,500.0,4th quarter 2018,Not yet,17000000
85,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,20,2005,RC,House,Commercial Zone,80.0,400.0,4th quarter 2018,Unknown,16000000
86,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,14,Unknown,125,1983,RC,Housing Complex,Category I Residential Zone,60.0,400.0,3rd quarter 2018,Unknown,74000000
87,Residential Land(Land Only),Toshima Ward,Ikebukuro,Ikebukuro,4,Unknown,60,2002.0,Unknown,Other,Commercial Zone,80.0,600.0,3rd quarter 2018,Unknown,190000000
88,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,7,Unknown,65,1985,S,House,Commercial Zone,80.0,600.0,3rd quarter 2018,Unknown,37000000
89,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,6,Unknown,65,1985,Unknown,House,Commercial Zone,80.0,600.0,3rd quarter 2018,Unknown,150000000
90,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2012,RC,Other,Commercial Zone,80.0,500.0,3rd quarter 2018,Not yet,25000000
91,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1DK,25,2007,SRC,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2018,Not yet,21000000
92,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,13,2LDK,50,1996,SRC,Other,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2018,Unknown,37000000
93,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,House,Category I Residential Zone,60.0,400.0,3rd quarter 2018,Not yet,25000000
94,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1LDK,40,2009,RC,House,Category I Residential Zone,80.0,400.0,3rd quarter 2018,Not yet,42000000
95,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1DK,30,1985,SRC,House,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,16000000
96,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,1991,SRC,Other,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2018,Not yet,21000000
97,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,10,1K,20,2000,SRC,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2018,Done,20000000
98,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1R,35,1986,SRC,Other,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2018,Not yet,20000000
99,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,10,1LDK,35,1986,SRC,Other,Commercial Zone,80.0,600.0,3rd quarter 2018,Not yet,22000000
100,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,7,1K,20,2011,RC,Other,Commercial Zone,80.0,800.0,3rd quarter 2018,Unknown,28000000
101,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2018,Not yet,22000000
102,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2011,RC,House,Commercial Zone,80.0,400.0,3rd quarter 2018,Not yet,23000000
103,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,10,1K,20,2012,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2018,Not yet,26000000
104,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,1991,SRC,House,Neighborhood Commercial Zone,80.0,400.0,3rd quarter 2018,Not yet,11000000
105,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,20,2011,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2018,Not yet,19000000
106,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,9,Unknown,230,2018,RC,Housing Complex,Commercial Zone,80.0,400.0,2nd quarter 2018,Unknown,630000000
107,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,9,Unknown,55,2018,W,House,Category I Residential Zone,60.0,300.0,2nd quarter 2018,Unknown,60000000
108,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,15,1985,SRC,Other,Commercial Zone,80.0,600.0,2nd quarter 2018,Not yet,12000000
109,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,20,2005,RC,Other,Commercial Zone,80.0,400.0,2nd quarter 2018,Not yet,21000000
110,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2012,RC,Other,Commercial Zone,80.0,500.0,2nd quarter 2018,Not yet,23000000
111,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,25,2007,SRC,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2018,Unknown,27000000
112,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2012,RC,House,Commercial Zone,80.0,500.0,2nd quarter 2018,Not yet,28000000
113,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,House,Neighborhood Commercial Zone,60.0,400.0,2nd quarter 2018,Not yet,25000000
114,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1K,20,2005,RC,Other,Commercial Zone,80.0,400.0,2nd quarter 2018,Done,20000000
115,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,10,1K,20,2000,SRC,House,Neighborhood Commercial Zone,80.0,400.0,2nd quarter 2018,Not yet,21000000
116,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,15,1984,RC,Other,Commercial Zone,80.0,400.0,2nd quarter 2018,Not yet,9500000
117,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,Unknown,20,2011,RC,House,Commercial Zone,80.0,500.0,2nd quarter 2018,Not yet,18000000
118,Residential Land(Land Only),Toshima Ward,Ikebukuro,Ikebukuro,10,Unknown,230,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,1st quarter 2018,Unknown,170000000
119,Residential Land(Land Only),Toshima Ward,Ikebukuro,Ikebukuro,5,Unknown,75,2002.0,Unknown,Other,Commercial Zone,80.0,600.0,1st quarter 2018,Unknown,60000000
120,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,1991,SRC,Other,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2018,Unknown,12000000
121,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,5,1K,25,1986,SRC,House,Commercial Zone,80.0,600.0,1st quarter 2018,Done,20000000
122,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,20,2005,RC,House,Commercial Zone,80.0,400.0,1st quarter 2018,Not yet,24000000
123,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,1K,25,2006,RC,Other,Neighborhood Commercial Zone,80.0,400.0,1st quarter 2018,Not yet,26000000
124,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,7,Unknown,130,1980,S,Housing Complex,Commercial Zone,80.0,600.0,4th quarter 2017,Unknown,62000000
125,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,2,Unknown,110,1961,W,Shop,Commercial Zone,80.0,600.0,4th quarter 2017,Unknown,230000000
126,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,5,Unknown,75,2002.0,Unknown,Other,Commercial Zone,80.0,600.0,4th quarter 2017,Unknown,32000000
127,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,12,Unknown,95,1982,S,"House, Shop",Neighborhood Commercial Zone,80.0,300.0,4th quarter 2017,Unknown,120000000
128,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,Other,Neighborhood Commercial Zone,60.0,400.0,4th quarter 2017,Unknown,22000000
130,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,9,Unknown,20,2004,RC,Other,Commercial Zone,80.0,400.0,4th quarter 2017,Unknown,17000000
131,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,7,1K,25,2011,RC,Other,Commercial Zone,80.0,800.0,4th quarter 2017,Unknown,28000000
132,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,5,2DK,40,1986,SRC,Other,Commercial Zone,80.0,600.0,4th quarter 2017,Unknown,16000000
133,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2010,RC,Other,Neighborhood Commercial Zone,60.0,400.0,4th quarter 2017,Not yet,22000000
134,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,25,2016,RC,House,Commercial Zone,80.0,500.0,4th quarter 2017,Not yet,30000000
135,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,11,1K,20,2011,RC,Other,Commercial Zone,80.0,400.0,4th quarter 2017,Not yet,21000000
136,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,25,2016,RC,Other,Commercial Zone,80.0,500.0,4th quarter 2017,Unknown,31000000
137,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1R,15,1985,SRC,Other,Commercial Zone,80.0,600.0,4th quarter 2017,Not yet,11000000
138,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,13,Unknown,120,1990,S,"Housing Complex, Warehouse",Neighborhood Commercial Zone,80.0,300.0,3rd quarter 2017,Unknown,120000000
139,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,8,Unknown,35,1979,S,"House, Shop",Commercial Zone,80.0,600.0,3rd quarter 2017,Unknown,55000000
140,Residential Land(Land Only),Toshima Ward,Ikebukuro,Ikebukuro,9,Unknown,85,2002.0,Unknown,Other,Category I Residential Zone,60.0,300.0,3rd quarter 2017,Unknown,40000000
141,Residential Land(Land and Building),Toshima Ward,Ikebukuro,Ikebukuro,12,Unknown,160,1994,W,Housing Complex,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2017,Unknown,87000000
142,Residential Land(Land Only),Toshima Ward,Ikebukuro,Ikebukuro,10,Unknown,40,2002.0,Unknown,Other,Category I Exclusively Medium-high Residential Zone,60.0,300.0,3rd quarter 2017,Unknown,26000000
143,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,25,2016,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2017,Unknown,27000000
144,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,8,1DK,30,1999,SRC,Other,Commercial Zone,80.0,500.0,3rd quarter 2017,Not yet,28000000
145,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,25,2016,RC,House,Commercial Zone,80.0,500.0,3rd quarter 2017,Done,34000000
146,"Pre-owned Condominiums, etc.",Toshima Ward,Ikebukuro,Ikebukuro,12,1K,25,2016,RC,Other,Commercial Zone,80.0,500.0,3rd quarter 2017,Unknown,34000000
